sampled_at_utc	tcfs_pids	s3_established_sockets	highwater	limit
2026-05-14T02:40:02Z	6899,93467	9	10	8
2026-05-14T02:40:07Z	6927,93467	9	10	8
2026-05-14T02:40:12Z	6953,93467	9	10	8
2026-05-14T02:40:17Z	6970,93467	9	10	8
2026-05-14T02:40:22Z	7165,93467	8	10	8
2026-05-14T02:40:27Z	7181,93467	8	10	8
2026-05-14T02:40:33Z	7199,93467	8	10	8
2026-05-14T02:40:38Z	7217,93467	8	10	8
2026-05-14T02:40:43Z	7232,93467	8	10	8
2026-05-14T02:40:48Z	7251,93467	8	10	8
2026-05-14T02:40:53Z	7265,93467	8	10	8
2026-05-14T02:40:58Z	7286,93467	8	10	8
2026-05-14T02:41:03Z	7313,93467	8	10	8
2026-05-14T02:41:08Z	7326,93467	8	10	8
2026-05-14T02:41:13Z	7348,93467	8	10	8
2026-05-14T02:41:18Z	7367,93467	8	10	8
2026-05-14T02:41:23Z	7381,93467	8	10	8
2026-05-14T02:41:28Z	7404,93467	8	10	8
2026-05-14T02:41:34Z	7420,93467	8	10	8
2026-05-14T02:41:39Z	7436,93467	8	10	8
2026-05-14T02:41:44Z	7449,93467	8	10	8
2026-05-14T02:41:49Z	7462,93467	8	10	8
2026-05-14T02:41:54Z	7476,93467	8	10	8
2026-05-14T02:41:59Z	7499,93467	8	10	8
2026-05-14T02:42:04Z	7516,93467	8	10	8
2026-05-14T02:42:09Z	7529,93467	8	10	8
2026-05-14T02:42:14Z	7543,93467	8	10	8
2026-05-14T02:42:19Z	7565,93467	8	10	8
2026-05-14T02:42:24Z	7586,93467	8	10	8
2026-05-14T02:42:29Z	7611,93467	8	10	8
2026-05-14T02:42:34Z	7626,93467	8	10	8
2026-05-14T02:42:40Z	7654,93467	8	10	8
2026-05-14T02:42:45Z	7674,93467	8	10	8
2026-05-14T02:42:50Z	7687,93467	8	10	8
2026-05-14T02:42:55Z	7704,93467	8	10	8
2026-05-14T02:43:00Z	7717,93467	8	10	8
2026-05-14T02:43:05Z	7731,93467	8	10	8
2026-05-14T02:43:10Z	7747,93467	8	10	8
2026-05-14T02:43:15Z	7763,93467	8	10	8
2026-05-14T02:43:20Z	7788,93467	8	10	8
2026-05-14T02:43:25Z	7802,93467	8	10	8
2026-05-14T02:43:30Z	7823,93467	9	10	8
2026-05-14T02:43:35Z	7847,93467	9	10	8
2026-05-14T02:43:41Z	8015,93467	9	10	8
2026-05-14T02:43:46Z	8121,93467	9	10	8
2026-05-14T02:43:51Z	8296,93467	8	10	8
2026-05-14T02:43:56Z	8400,93467	8	10	8
2026-05-14T02:44:01Z	8414,93467	8	10	8
2026-05-14T02:44:06Z	8430,93467	8	10	8
2026-05-14T02:44:11Z	8447,93467	8	10	8
2026-05-14T02:44:16Z	8463,93467	8	10	8
2026-05-14T02:44:21Z	8499,93467	8	10	8
2026-05-14T02:44:26Z	8548,93467	8	10	8
2026-05-14T02:44:31Z	8582,93467	8	10	8
2026-05-14T02:44:36Z	8598,93467	8	10	8
2026-05-14T02:44:41Z	8611,93467	8	10	8
2026-05-14T02:44:47Z	8624,93467	8	10	8
2026-05-14T02:44:52Z	8637,93467	8	10	8
2026-05-14T02:44:57Z	8686,93467	8	10	8
2026-05-14T02:45:02Z	8705,93467	9	10	8
2026-05-14T02:45:07Z	8722,93467	9	10	8
2026-05-14T02:45:12Z	8750,93467	9	10	8
2026-05-14T02:45:17Z	8768,93467	9	10	8
2026-05-14T02:45:22Z	8781,93467	8	10	8
2026-05-14T02:45:27Z	8815,93467	8	10	8
2026-05-14T02:45:32Z	8832,93467	8	10	8
2026-05-14T02:45:37Z	8847,93467	8	10	8
2026-05-14T02:45:42Z	8866,93467	8	10	8
2026-05-14T02:45:48Z	8879,93467	8	10	8
2026-05-14T02:45:53Z	8893,93467	8	10	8
2026-05-14T02:45:58Z	8922,93467	8	10	8
2026-05-14T02:46:03Z	8938,93467	8	10	8
2026-05-14T02:46:08Z	8951,93467	8	10	8
2026-05-14T02:46:13Z	8989,93467	8	10	8
2026-05-14T02:46:18Z	9002,93467	8	10	8
2026-05-14T02:46:23Z	9015,93467	8	10	8
2026-05-14T02:46:28Z	9031,93467	8	10	8
2026-05-14T02:46:33Z	9050,93467	8	10	8
2026-05-14T02:46:38Z	9065,93467	8	10	8
2026-05-14T02:46:43Z	9078,93467	8	10	8
2026-05-14T02:46:48Z	9096,93467	8	10	8
2026-05-14T02:46:54Z	9114,93467	8	10	8
2026-05-14T02:46:59Z	9129,93467	8	10	8
2026-05-14T02:47:04Z	9148,93467	8	10	8
2026-05-14T02:47:09Z	9163,93467	8	10	8
2026-05-14T02:47:14Z	9186,93467	8	10	8
2026-05-14T02:47:19Z	9199,93467	8	10	8
2026-05-14T02:47:24Z	9283,93467	8	10	8
2026-05-14T02:47:29Z	9476,93467	8	10	8
2026-05-14T02:47:34Z	9556,93467	8	10	8
2026-05-14T02:47:39Z	9754,93467	8	10	8
2026-05-14T02:47:44Z	9767,93467	8	10	8
2026-05-14T02:47:49Z	9783,93467	8	10	8
2026-05-14T02:47:55Z	9797,93467	8	10	8
2026-05-14T02:48:00Z	9817,93467	8	10	8
2026-05-14T02:48:05Z	9848,93467	8	10	8
2026-05-14T02:48:10Z	9890,93467	8	10	8
2026-05-14T02:48:15Z	9933,93467	8	10	8
2026-05-14T02:48:20Z	9946,93467	8	10	8
2026-05-14T02:48:25Z	9960,93467	8	10	8
2026-05-14T02:48:30Z	9974,93467	8	10	8
2026-05-14T02:48:35Z	9989,93467	8	10	8
2026-05-14T02:48:40Z	10015,93467	8	10	8
2026-05-14T02:48:45Z	10028,93467	8	10	8
2026-05-14T02:48:50Z	10041,93467	8	10	8
2026-05-14T02:48:56Z	10055,93467	9	10	8
2026-05-14T02:49:01Z	10069,93467	9	10	8
2026-05-14T02:49:06Z	10082,93467	9	10	8
2026-05-14T02:49:11Z	10095,93467	9	10	8
2026-05-14T02:49:16Z	10112,93467	9	10	8
2026-05-14T02:49:21Z	10125,93467	8	10	8
2026-05-14T02:49:26Z	10138,93467	8	10	8
2026-05-14T02:49:31Z	10159,93467	8	10	8
2026-05-14T02:49:36Z	10176,93467	8	10	8
2026-05-14T02:49:41Z	10190,93467	8	10	8
2026-05-14T02:49:46Z	10203,93467	8	10	8
2026-05-14T02:49:51Z	10220,93467	8	10	8
2026-05-14T02:49:56Z	10234,93467	9	10	8
2026-05-14T02:50:02Z	10260,93467	9	10	8
2026-05-14T02:50:07Z	10279,93467	9	10	8
2026-05-14T02:50:12Z	10293,93467	9	10	8
2026-05-14T02:50:17Z	10314,93467	9	10	8
2026-05-14T02:50:22Z	10327,93467	8	10	8
2026-05-14T02:50:27Z	10340,93467	8	10	8
2026-05-14T02:50:32Z	10360,93467	8	10	8
2026-05-14T02:50:37Z	10373,93467	8	10	8
2026-05-14T02:50:42Z	10386,93467	8	10	8
2026-05-14T02:50:47Z	10399,93467	8	10	8
2026-05-14T02:50:52Z	10427,93467	8	10	8
2026-05-14T02:50:58Z	10446,93467	8	10	8
2026-05-14T02:51:03Z	10470,93467	8	10	8
2026-05-14T02:51:08Z	10484,93467	8	10	8
2026-05-14T02:51:13Z	10501,93467	8	10	8
2026-05-14T02:51:18Z	10523,93467	8	10	8
2026-05-14T02:51:23Z	10543,93467	8	10	8
2026-05-14T02:51:28Z	10556,93467	8	10	8
2026-05-14T02:51:33Z	10584,93467	8	10	8
2026-05-14T02:51:38Z	10597,93467	8	10	8
2026-05-14T02:51:43Z	10626,93467	8	10	8
2026-05-14T02:51:48Z	10639,93467	8	10	8
2026-05-14T02:51:53Z	10653,93467	8	10	8
2026-05-14T02:51:59Z	10667,93467	8	10	8
2026-05-14T02:52:04Z	10687,93467	8	10	8
2026-05-14T02:52:09Z	10706,93467	8	10	8
2026-05-14T02:52:14Z	10719,93467	8	10	8
